,customer_id,payment_type_id,internet_service_type_id,contract_type_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,contract_type,internet_service_type,payment_type,churn_month,signup_date
25,0032-PGELS,3,1,1,Female,0,Yes,Yes,1,No,No phone service,Yes,No,No,No,No,No,No,30.5,30.5,Yes,Month-to-month,DSL,Bank transfer (automatic),2022-01-31,2021-12-21 18:07:34
26,0036-IHMOT,3,2,2,Female,0,Yes,Yes,55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,103.7,5656.75,No,One year,Fiber optic,Bank transfer (automatic),,2017-06-21 18:07:34
27,0040-HALCW,4,3,3,Male,0,Yes,Yes,54,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.4,1090.6,No,Two year,None,Credit card (automatic),,2017-07-21 18:07:34
28,0042-JVWOJ,3,3,2,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.6,471.85,No,One year,None,Bank transfer (automatic),,2019-11-21 18:07:34
29,0042-RLHYP,3,3,3,Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.7,1396.9,No,Two year,None,Bank transfer (automatic),,2016-04-21 18:07:34
30,0048-LUMLS,4,2,2,Male,0,Yes,Yes,37,Yes,No,No,No,No,No,Yes,Yes,No,91.2,3247.55,No,One year,Fiber optic,Credit card (automatic),,2018-12-21 18:07:34
31,0048-PIHNL,3,3,2,Female,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.45,900.9,No,One year,None,Bank transfer (automatic),,2017-12-21 18:07:34
32,0052-DCKON,3,2,2,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.8,7942.15,No,One year,Fiber optic,Bank transfer (automatic),,2016-07-21 18:07:34
33,0052-YNYOT,1,3,2,Female,0,No,No,67,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.55,1343.4,No,One year,None,Electronic check,,2016-06-21 18:07:34
34,0056-EPFBG,4,1,3,Male,0,Yes,Yes,20,No,No phone service,Yes,No,Yes,Yes,No,No,Yes,39.4,825.4,No,Two year,DSL,Credit card (automatic),,2020-05-21 18:07:34
35,0057-QBUQH,1,3,3,Female,0,No,Yes,43,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,25.1,1070.15,No,Two year,None,Electronic check,,2018-06-21 18:07:34
36,0058-EVZWM,3,2,1,Female,0,Yes,No,55,Yes,Yes,Yes,No,No,No,Yes,No,Yes,89.8,4959.6,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2017-06-21 18:07:34
37,0060-FUALY,1,2,1,Female,0,Yes,No,59,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,94.75,5597.65,No,Month-to-month,Fiber optic,Electronic check,,2017-02-21 18:07:34
38,0064-SUDOG,3,3,3,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.3,224.5,No,Two year,None,Bank transfer (automatic),,2021-01-21 18:07:34
39,0064-YIJGF,3,2,1,Male,0,Yes,Yes,27,Yes,Yes,No,No,No,No,No,No,Yes,75.75,1929,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2019-10-21 18:07:34
40,0067-DKWBL,1,1,1,Male,1,No,No,2,Yes,No,Yes,No,No,No,No,No,Yes,49.25,91.1,Yes,Month-to-month,DSL,Electronic check,2022-01-31,2021-11-21 18:07:34
41,0068-FIGTF,2,1,2,Female,0,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,78.2,2078.95,No,One year,DSL,Mailed check,,2019-10-21 18:07:34
42,0071-NDAFP,4,3,3,Male,0,Yes,Yes,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.5,630.6,No,Two year,None,Credit card (automatic),,2019-12-21 18:07:34
43,0074-HDKDG,3,1,2,Male,0,Yes,Yes,25,Yes,No,Yes,Yes,Yes,No,No,No,Yes,61.6,1611,No,One year,DSL,Bank transfer (automatic),,2019-12-21 18:07:34
44,0076-LVEPS,2,1,1,Male,0,No,Yes,29,No,No phone service,Yes,Yes,Yes,Yes,No,No,Yes,45.0,1242.45,No,Month-to-month,DSL,Mailed check,,2019-08-21 18:07:34
45,0078-XZMHT,3,1,3,Male,0,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,85.15,6316.2,No,Two year,DSL,Bank transfer (automatic),,2016-01-21 18:07:34
46,0080-EMYVY,4,1,2,Female,0,No,No,14,Yes,No,No,Yes,No,No,No,No,No,51.45,727.85,No,One year,DSL,Credit card (automatic),,2020-11-21 18:07:34
47,0080-OROZO,1,2,2,Female,0,No,No,35,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,99.25,3532,No,One year,Fiber optic,Electronic check,,2019-02-21 18:07:34
48,0082-LDZUE,2,1,1,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,Yes,44.3,44.3,No,Month-to-month,DSL,Mailed check,,2021-12-21 18:07:34
49,0082-OQIQY,1,2,1,Male,0,No,No,29,Yes,No,No,No,No,Yes,Yes,Yes,Yes,94.2,2607.6,No,Month-to-month,Fiber optic,Electronic check,,2019-08-21 18:07:34
50,0083-PIVIK,1,1,2,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,81.25,5567.55,No,One year,DSL,Electronic check,,2016-09-21 18:07:34
51,0089-IIQKO,4,2,1,Female,0,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,99.95,3767.4,No,Month-to-month,Fiber optic,Credit card (automatic),,2018-10-21 18:07:34
52,0093-EXYQL,1,2,1,Female,1,No,No,40,Yes,No,No,No,No,No,Yes,Yes,Yes,91.55,3673.6,No,Month-to-month,Fiber optic,Electronic check,,2018-09-21 18:07:34
53,0093-XWZFY,4,2,1,Male,0,No,No,40,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.5,4036.85,Yes,Month-to-month,Fiber optic,Credit card (automatic),2022-01-31,2018-09-21 18:07:34
54,0094-OIFMO,1,2,1,Female,1,No,No,11,Yes,No,No,Yes,No,No,Yes,Yes,Yes,95.0,1120.3,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-02-21 18:07:34
55,0096-BXERS,1,1,1,Female,0,Yes,No,6,Yes,Yes,No,No,No,No,No,No,No,50.35,314.55,No,Month-to-month,DSL,Electronic check,,2021-07-21 18:07:34
56,0096-FCPUF,2,1,1,Male,0,No,No,30,Yes,Yes,Yes,No,No,No,No,Yes,Yes,64.5,1888.45,No,Month-to-month,DSL,Mailed check,,2019-07-21 18:07:34
57,0098-BOWSO,1,3,1,Male,0,No,No,27,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.4,529.8,No,Month-to-month,None,Electronic check,,2019-10-21 18:07:34
58,0100-DUVFC,1,2,2,Male,1,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.8,7308.95,No,One year,Fiber optic,Electronic check,,2016-03-21 18:07:34
59,0103-CSITQ,3,2,2,Female,0,Yes,No,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.4,6252.7,No,One year,Fiber optic,Bank transfer (automatic),,2017-04-21 18:07:34
60,0104-PPXDV,4,1,2,Male,0,Yes,No,58,Yes,No,No,No,Yes,No,No,No,No,50.3,2878.55,No,One year,DSL,Credit card (automatic),,2017-03-21 18:07:34
61,0106-GHRQR,3,1,1,Male,0,No,No,16,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,71.4,1212.1,No,Month-to-month,DSL,Bank transfer (automatic),,2020-09-21 18:07:34
62,0106-UGRDO,1,2,3,Female,0,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.0,8182.85,No,Two year,Fiber optic,Electronic check,,2016-04-21 18:07:34
63,0107-WESLM,1,3,1,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.85,19.85,Yes,Month-to-month,None,Electronic check,2022-01-31,2021-12-21 18:07:34
64,0107-YHINA,1,2,1,Male,0,No,Yes,1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,99.75,99.75,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-12-21 18:07:34
65,0111-KLBQG,2,2,1,Male,1,Yes,Yes,32,Yes,No,No,Yes,No,No,Yes,Yes,Yes,93.95,2861.45,No,Month-to-month,Fiber optic,Mailed check,,2019-05-21 18:07:34
66,0112-QAWRZ,3,2,1,Male,0,Yes,Yes,16,Yes,Yes,No,No,Yes,No,Yes,No,Yes,90.8,1442.2,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2020-09-21 18:07:34
67,0112-QWPNC,1,1,2,Male,0,Yes,No,49,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,84.35,4059.35,Yes,One year,DSL,Electronic check,2022-01-31,2017-12-21 18:07:34
68,0114-IGABW,3,1,3,Female,0,Yes,No,71,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,58.25,4145.9,No,Two year,DSL,Bank transfer (automatic),,2016-02-21 18:07:34
69,0114-PEGZZ,1,2,1,Female,0,No,No,33,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,107.55,3645.5,No,Month-to-month,Fiber optic,Electronic check,,2019-04-21 18:07:34
70,0114-RSRRW,3,3,1,Female,0,Yes,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.95,187.75,No,Month-to-month,None,Bank transfer (automatic),,2021-03-21 18:07:34
71,0115-TFERT,1,2,1,Male,0,Yes,No,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,111.2,2317.1,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2020-04-21 18:07:34
72,0117-LFRMW,3,1,1,Male,0,Yes,Yes,37,No,No phone service,Yes,Yes,Yes,No,No,No,No,40.2,1448.8,Yes,Month-to-month,DSL,Bank transfer (automatic),2022-01-31,2018-12-21 18:07:34
73,0118-JPNOY,4,2,1,Female,1,No,No,26,Yes,No,Yes,No,No,No,Yes,No,Yes,85.8,2193.65,No,Month-to-month,Fiber optic,Credit card (automatic),,2019-11-21 18:07:34
74,0121-SNYRK,2,1,2,Male,0,No,No,50,No,No phone service,Yes,No,No,Yes,No,No,Yes,35.4,1748.9,No,One year,DSL,Mailed check,,2017-11-21 18:07:34
75,0122-OAHPZ,1,2,1,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,No,Yes,73.85,511.25,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-06-21 18:07:34
76,0123-CRBRT,2,1,3,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,88.1,5526.75,No,Two year,DSL,Mailed check,,2016-12-21 18:07:34
77,0125-LZQXK,1,2,1,Male,0,No,No,15,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,101.35,1553.95,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2020-10-21 18:07:34
78,0128-MKWSG,2,1,1,Female,0,No,Yes,26,No,No phone service,Yes,No,No,Yes,No,Yes,No,45.8,1147,No,Month-to-month,DSL,Mailed check,,2019-11-21 18:07:34
79,0129-KPTWJ,1,2,1,Male,0,Yes,No,72,Yes,No,No,No,Yes,No,Yes,Yes,Yes,94.65,6747.35,No,Month-to-month,Fiber optic,Electronic check,,2016-01-21 18:07:34
80,0129-QMPDR,3,3,2,Male,0,Yes,Yes,44,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.5,865.05,No,One year,None,Bank transfer (automatic),,2018-05-21 18:07:34
81,0130-SXOUN,4,2,1,Male,0,No,No,66,Yes,Yes,No,Yes,No,No,No,Yes,No,89.4,5976.9,No,Month-to-month,Fiber optic,Credit card (automatic),,2016-07-21 18:07:34
82,0133-BMFZO,1,2,1,Female,0,No,No,2,Yes,No,Yes,Yes,No,Yes,No,No,Yes,86.25,181.65,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-11-21 18:07:34
83,0134-XWXCE,3,1,2,Female,1,No,No,44,Yes,No,No,No,Yes,Yes,Yes,Yes,No,74.85,3268.05,No,One year,DSL,Bank transfer (automatic),,2018-05-21 18:07:34
84,0135-NMXAP,3,2,1,Female,0,No,No,12,Yes,Yes,No,Yes,No,No,Yes,No,Yes,89.75,1052.4,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),2022-01-31,2021-01-21 18:07:34
85,0136-IFMYD,1,2,3,Male,1,Yes,No,69,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.95,7634.25,No,Two year,Fiber optic,Electronic check,,2016-04-21 18:07:34
86,0137-OCGAB,2,2,1,Female,0,No,No,1,Yes,Yes,No,Yes,No,No,No,No,Yes,80.2,80.2,Yes,Month-to-month,Fiber optic,Mailed check,2022-01-31,2021-12-21 18:07:34
87,0137-UDEUO,2,3,1,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.85,63.75,Yes,Month-to-month,None,Mailed check,2022-01-31,2021-10-21 18:07:34
88,0139-IVFJG,1,2,1,Female,0,Yes,No,2,Yes,No,Yes,Yes,No,No,Yes,No,No,90.35,190.5,No,Month-to-month,Fiber optic,Electronic check,,2021-11-21 18:07:34
89,0141-YEAYS,3,2,1,Female,1,No,No,27,Yes,Yes,No,Yes,Yes,No,No,No,Yes,86.45,2401.05,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2019-10-21 18:07:34
90,0142-GVYSN,1,3,1,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.3,511.25,No,Month-to-month,None,Electronic check,,2019-11-21 18:07:34
91,0147-ESWWR,1,2,1,Female,1,Yes,No,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,101.25,3949.15,No,Month-to-month,Fiber optic,Electronic check,,2018-10-21 18:07:34
92,0148-DCDOS,3,2,1,Male,0,No,No,25,Yes,Yes,No,No,No,No,Yes,Yes,Yes,94.7,2362.1,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),2022-01-31,2019-12-21 18:07:34
93,0151-ONTOV,2,2,1,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,No,70.9,70.9,Yes,Month-to-month,Fiber optic,Mailed check,2022-01-31,2021-12-21 18:07:34
94,0156-FVPTA,1,1,1,Male,0,Yes,No,22,Yes,No,Yes,No,No,Yes,No,No,Yes,54.2,1152.7,Yes,Month-to-month,DSL,Electronic check,2022-01-31,2020-03-21 18:07:34
95,0164-APGRB,1,2,3,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,114.9,8496.7,No,Two year,Fiber optic,Electronic check,,2016-01-21 18:07:34
96,0164-XAIRP,3,3,3,Female,0,No,No,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.55,470.2,No,Two year,None,Bank transfer (automatic),,2020-01-21 18:07:34
97,0168-XZKBB,1,2,1,Female,0,Yes,No,19,Yes,Yes,No,No,No,No,Yes,No,Yes,86.85,1564.4,No,Month-to-month,Fiber optic,Electronic check,,2020-06-21 18:07:34
98,0174-QRVVY,4,3,3,Male,0,Yes,Yes,71,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.35,1847.55,No,Two year,None,Credit card (automatic),,2016-02-21 18:07:34
99,0177-PXBAT,3,2,1,Male,1,Yes,No,33,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,109.9,3694.7,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2019-04-21 18:07:34
100,0178-CIIKR,2,3,1,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.95,58,No,Month-to-month,None,Mailed check,,2021-10-21 18:07:34
101,0178-SZBHO,1,2,1,Male,0,Yes,Yes,47,Yes,Yes,No,Yes,No,No,Yes,No,No,87.2,4017.45,No,Month-to-month,Fiber optic,Electronic check,,2018-02-21 18:07:34
102,0181-RITDD,2,2,3,Male,0,Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,108.15,6825.65,No,Two year,Fiber optic,Mailed check,,2016-11-21 18:07:34
103,0186-CAERR,3,2,2,Male,0,No,No,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.3,8309.55,No,One year,Fiber optic,Bank transfer (automatic),,2016-02-21 18:07:34
104,0187-QSXOE,1,2,1,Male,1,Yes,No,7,Yes,No,No,No,No,No,Yes,Yes,Yes,89.0,605.45,No,Month-to-month,Fiber optic,Electronic check,,2021-06-21 18:07:34
105,0187-WZNAB,2,2,1,Female,0,Yes,Yes,27,Yes,No,Yes,No,No,No,No,No,No,74.4,1972.35,No,Month-to-month,Fiber optic,Mailed check,,2019-10-21 18:07:34
106,0188-GWFLE,2,3,1,Male,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.05,33.7,No,Month-to-month,None,Mailed check,,2021-11-21 18:07:34
107,0191-EQUUH,3,1,3,Female,0,No,Yes,25,No,No phone service,Yes,No,No,Yes,No,No,No,35.05,844.45,No,Two year,DSL,Bank transfer (automatic),,2019-12-21 18:07:34
108,0191-ZHSKZ,1,1,1,Male,1,No,No,30,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,74.75,2111.3,No,Month-to-month,DSL,Electronic check,,2019-07-21 18:07:34
109,0193-ESZXP,4,2,2,Female,1,Yes,No,58,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,105.5,6205.5,Yes,One year,Fiber optic,Credit card (automatic),2022-01-31,2017-03-21 18:07:34
110,0195-IESCP,1,2,1,Male,0,Yes,No,10,Yes,Yes,No,No,No,No,No,Yes,Yes,85.25,855.3,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-03-21 18:07:34
111,0196-JTUQI,4,2,1,Female,0,No,No,9,Yes,Yes,No,No,No,No,No,No,Yes,75.2,633.85,No,Month-to-month,Fiber optic,Credit card (automatic),,2021-04-21 18:07:34
112,0196-VULGZ,1,2,1,Female,1,Yes,No,6,Yes,Yes,No,No,No,No,No,Yes,Yes,84.35,474.9,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-07-21 18:07:34
113,0197-PNKNK,3,2,2,Female,0,Yes,Yes,69,Yes,Yes,Yes,No,Yes,No,No,No,No,84.45,5848.6,No,One year,Fiber optic,Bank transfer (automatic),,2016-04-21 18:07:34
114,0201-MIBOL,3,2,3,Female,1,No,No,66,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,102.4,6471.85,No,Two year,Fiber optic,Bank transfer (automatic),,2016-07-21 18:07:34
115,0201-OAMXR,4,2,2,Female,0,No,No,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.55,8127.6,Yes,One year,Fiber optic,Credit card (automatic),2022-01-31,2016-03-21 18:07:34
116,0203-HHYIJ,3,3,2,Male,0,No,No,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.3,676.35,Yes,One year,None,Bank transfer (automatic),2022-01-31,2019-12-21 18:07:34
117,0206-OYVOC,2,3,3,Female,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.25,864.2,No,Two year,None,Mailed check,,2018-03-21 18:07:34
118,0206-TBWLC,2,2,2,Female,0,Yes,No,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,114.65,6049.5,No,One year,Fiber optic,Mailed check,,2017-07-21 18:07:34
119,0207-MDKNV,1,2,1,Female,0,No,No,15,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,105.1,1582.75,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2020-10-21 18:07:34
120,0208-BPQEJ,3,3,1,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.4,198.1,No,Month-to-month,None,Bank transfer (automatic),,2021-01-21 18:07:34
121,0212-ISBBF,1,1,1,Female,0,No,No,22,No,No phone service,No,Yes,No,No,Yes,Yes,Yes,50.35,1098.85,No,Month-to-month,DSL,Electronic check,,2020-03-21 18:07:34
122,0214-JHPFW,3,1,3,Female,0,Yes,No,70,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,57.8,4039.3,No,Two year,DSL,Bank transfer (automatic),,2016-03-21 18:07:34
123,0215-BQKGS,4,2,1,Male,0,No,No,30,Yes,No,Yes,Yes,Yes,No,No,No,Yes,84.3,2438.6,No,Month-to-month,Fiber optic,Credit card (automatic),,2019-07-21 18:07:34
124,0218-QNVAS,3,2,2,Male,0,Yes,Yes,71,Yes,Yes,No,Yes,No,No,Yes,Yes,No,100.55,7113.75,No,One year,Fiber optic,Bank transfer (automatic),,2016-02-21 18:07:34
125,0219-QAERP,4,3,2,Male,0,Yes,No,30,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.8,576.65,No,One year,None,Credit card (automatic),,2019-07-21 18:07:34
126,0219-YTZUE,3,2,1,Male,0,Yes,Yes,4,Yes,Yes,No,Yes,Yes,No,No,No,Yes,84.8,371.9,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),2022-01-31,2021-09-21 18:07:34
127,0220-EBGCE,1,2,1,Male,0,No,No,2,Yes,No,No,No,Yes,No,No,Yes,Yes,85.85,167.3,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-11-21 18:07:34
128,0221-NAUXK,3,3,2,Male,0,No,Yes,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.95,219.5,No,One year,None,Bank transfer (automatic),,2021-03-21 18:07:34
129,0221-WMXNQ,1,2,1,Male,1,No,No,4,Yes,No,Yes,No,No,No,No,No,No,75.35,273.4,No,Month-to-month,Fiber optic,Electronic check,,2021-09-21 18:07:34
